 vbep            v(Vbep)         vbep            v(Vben)        
 7.00176052e-01  7.00176052e-01  7.00176052e-01  5.98384278e-01 
 6.98542135e-01  6.98542135e-01  6.98542135e-01  5.96451022e-01 
 6.96907240e-01  6.96907240e-01  6.96907240e-01  5.94516686e-01 
 6.95271384e-01  6.95271384e-01  6.95271384e-01  5.92581281e-01 
 6.93634578e-01  6.93634578e-01  6.93634578e-01  5.90644820e-01 
 6.91996838e-01  6.91996838e-01  6.91996838e-01  5.88707313e-01 
 6.90358178e-01  6.90358178e-01  6.90358178e-01  5.86768771e-01 
 6.88718611e-01  6.88718611e-01  6.88718611e-01  5.84829208e-01 
 6.87078154e-01  6.87078154e-01  6.87078154e-01  5.82888633e-01 
 6.85436819e-01  6.85436819e-01  6.85436819e-01  5.80947059e-01 
 6.83794621e-01  6.83794621e-01  6.83794621e-01  5.79004497e-01 
 6.82151576e-01  6.82151576e-01  6.82151576e-01  5.77060959e-01 
 6.80507698e-01  6.80507698e-01  6.80507698e-01  5.75116456e-01 
 6.78863001e-01  6.78863001e-01  6.78863001e-01  5.73170999e-01 
 6.77217501e-01  6.77217501e-01  6.77217501e-01  5.71224600e-01 
 6.75571213e-01  6.75571213e-01  6.75571213e-01  5.69277272e-01 
 6.73924152e-01  6.73924152e-01  6.73924152e-01  5.67329024e-01 
 6.72276332e-01  6.72276332e-01  6.72276332e-01  5.65379869e-01 
