 vbep            v(Vbep)         vbep            v(Vben)         yes             currtemp       
 2.97272360e-01  2.97272360e-01  2.97272360e-01  1.00855102e-01  1.00000000e+00  3.70000000e+01 
 2.95226193e-01  2.95226193e-01  2.95226193e-01  1.01035551e-01  1.00000000e+00  3.80000000e+01 
 2.93384473e-01  2.93384473e-01  2.93384473e-01  1.01165973e-01  1.00000000e+00  3.90000000e+01 
 2.91467310e-01  2.91467310e-01  2.91467310e-01  1.01348681e-01  1.00000000e+00  4.00000000e+01 
 2.89481539e-01  2.89481539e-01  2.89481539e-01  1.01391083e-01  1.00000000e+00  4.10000000e+01 
 2.87616223e-01  2.87616223e-01  2.87616223e-01  1.01610748e-01  1.00000000e+00  4.20000000e+01 
 2.85695209e-01  2.85695209e-01  2.85695209e-01  1.01688584e-01  1.00000000e+00  4.30000000e+01 
 2.83738548e-01  2.83738548e-01  2.83738548e-01  1.01831333e-01  1.00000000e+00  4.40000000e+01 
 2.81850176e-01  2.81850176e-01  2.81850176e-01  1.01953030e-01  1.00000000e+00  4.50000000e+01 
 2.79834674e-01  2.79834674e-01  2.79834674e-01  1.02139754e-01  1.00000000e+00  4.60000000e+01 
 2.77920305e-01  2.77920305e-01  2.77920305e-01  1.02379833e-01  1.00000000e+00  4.70000000e+01 
 2.76002380e-01  2.76002380e-01  2.76002380e-01  1.02467477e-01  1.00000000e+00  4.80000000e+01 
 2.74028667e-01  2.74028667e-01  2.74028667e-01  1.02624353e-01  1.00000000e+00  4.90000000e+01 
 2.72110436e-01  2.72110436e-01  2.72110436e-01  1.02832702e-01  1.00000000e+00  5.00000000e+01 
 2.70209439e-01  2.70209439e-01  2.70209439e-01  1.03105878e-01  1.00000000e+00  5.10000000e+01 
 2.68244300e-01  2.68244300e-01  2.68244300e-01  1.03271594e-01  1.00000000e+00  5.20000000e+01 
 2.66379255e-01  2.66379255e-01  2.66379255e-01  1.03520339e-01  1.00000000e+00  5.30000000e+01 
 2.64512652e-01  2.64512652e-01  2.64512652e-01  1.03850234e-01  1.00000000e+00  5.40000000e+01 
 2.62586889e-01  2.62586889e-01  2.62586889e-01  1.04118128e-01  1.00000000e+00  5.50000000e+01 
 2.85697799e-01  2.85697799e-01  2.85697799e-01  1.74381084e-01  1.00000000e+00  5.60000000e+01 
 2.83219645e-01  2.83219645e-01  2.83219645e-01  1.73347096e-01  1.00000000e+00  5.70000000e+01 
 2.80716712e-01  2.80716712e-01  2.80716712e-01  1.72254666e-01  1.00000000e+00  5.80000000e+01 
 2.78278786e-01  2.78278786e-01  2.78278786e-01  1.70986018e-01  1.00000000e+00  5.90000000e+01 
 2.75838192e-01  2.75838192e-01  2.75838192e-01  1.69764202e-01  1.00000000e+00  6.00000000e+01 
 2.73427618e-01  2.73427618e-01  2.73427618e-01  1.68738186e-01  1.00000000e+00  6.10000000e+01 
 2.71058029e-01  2.71058029e-01  2.71058029e-01  1.67505882e-01  1.00000000e+00  6.20000000e+01 
 2.68716945e-01  2.68716945e-01  2.68716945e-01  1.66355768e-01  1.00000000e+00  6.30000000e+01 
 2.66420955e-01  2.66420955e-01  2.66420955e-01  1.65240935e-01  1.00000000e+00  6.40000000e+01 
 2.64149688e-01  2.64149688e-01  2.64149688e-01  1.64229039e-01  1.00000000e+00  6.50000000e+01 
 2.61932065e-01  2.61932065e-01  2.61932065e-01  1.63087337e-01  1.00000000e+00  6.60000000e+01 
 2.59739563e-01  2.59739563e-01  2.59739563e-01  1.62057852e-01  1.00000000e+00  6.70000000e+01 
 2.57586178e-01  2.57586178e-01  2.57586178e-01  1.61025575e-01  1.00000000e+00  6.80000000e+01 
 2.55519155e-01  2.55519155e-01  2.55519155e-01  1.59989743e-01  1.00000000e+00  6.90000000e+01 
 2.53450960e-01  2.53450960e-01  2.53450960e-01  1.58992183e-01  1.00000000e+00  7.00000000e+01 
 2.51445509e-01  2.51445509e-01  2.51445509e-01  1.57969136e-01  1.00000000e+00  7.10000000e+01 
 2.49507283e-01  2.49507283e-01  2.49507283e-01  1.57057605e-01  1.00000000e+00  7.20000000e+01 
 2.47612197e-01  2.47612197e-01  2.47612197e-01  1.56100619e-01  1.00000000e+00  7.30000000e+01 
 2.45775203e-01  2.45775203e-01  2.45775203e-01  1.55284112e-01  1.00000000e+00  7.40000000e+01 
 2.44004445e-01  2.44004445e-01  2.44004445e-01  1.54396510e-01  1.00000000e+00  7.50000000e+01 
 2.42281732e-01  2.42281732e-01  2.42281732e-01  1.53627313e-01  1.00000000e+00  7.60000000e+01 
 2.40624400e-01  2.40624400e-01  2.40624400e-01  1.52771332e-01  1.00000000e+00  7.70000000e+01 
 2.39026580e-01  2.39026580e-01  2.39026580e-01  1.52072073e-01  1.00000000e+00  7.80000000e+01 
 2.37490677e-01  2.37490677e-01  2.37490677e-01  1.51389920e-01  1.00000000e+00  7.90000000e+01 
 2.36025734e-01  2.36025734e-01  2.36025734e-01  1.50684010e-01  1.00000000e+00  8.00000000e+01 
 2.34618554e-01  2.34618554e-01  2.34618554e-01  1.49988929e-01  1.00000000e+00  8.10000000e+01 
 2.33274388e-01  2.33274388e-01  2.33274388e-01  1.49393348e-01  1.00000000e+00  8.20000000e+01 
 2.31978979e-01  2.31978979e-01  2.31978979e-01  1.48852658e-01  1.00000000e+00  8.30000000e+01 
 2.30769737e-01  2.30769737e-01  2.30769737e-01  1.48293129e-01  1.00000000e+00  8.40000000e+01 
 2.29606100e-01  2.29606100e-01  2.29606100e-01  1.47720878e-01  1.00000000e+00  8.50000000e+01 
 2.28505257e-01  2.28505257e-01  2.28505257e-01  1.47270187e-01  1.00000000e+00  8.60000000e+01 
 2.27471343e-01  2.27471343e-01  2.27471343e-01  1.46797588e-01  1.00000000e+00  8.70000000e+01 
 2.26478922e-01  2.26478922e-01  2.26478922e-01  1.46362521e-01  1.00000000e+00  8.80000000e+01 
 2.25553446e-01  2.25553446e-01  2.25553446e-01  1.45925950e-01  1.00000000e+00  8.90000000e+01 
 2.24679963e-01  2.24679963e-01  2.24679963e-01  1.45526001e-01  1.00000000e+00  9.00000000e+01 
 2.23862509e-01  2.23862509e-01  2.23862509e-01  1.45166360e-01  1.00000000e+00  9.10000000e+01 
 2.23084328e-01  2.23084328e-01  2.23084328e-01  1.44819186e-01  1.00000000e+00  9.20000000e+01 
 2.22375411e-01  2.22375411e-01  2.22375411e-01  1.44505192e-01  1.00000000e+00  9.30000000e+01 
 2.21701060e-01  2.21701060e-01  2.21701060e-01  1.44218006e-01  1.00000000e+00  9.40000000e+01 
 2.21074650e-01  2.21074650e-01  2.21074650e-01  1.43917680e-01  1.00000000e+00  9.50000000e+01 
 2.20481218e-01  2.20481218e-01  2.20481218e-01  1.43653883e-01  1.00000000e+00  9.60000000e+01 
 2.19936747e-01  2.19936747e-01  2.19936747e-01  1.43381494e-01  1.00000000e+00  9.70000000e+01 
 2.19429931e-01  2.19429931e-01  2.19429931e-01  1.43147057e-01  1.00000000e+00  9.80000000e+01 
 2.18954220e-01  2.18954220e-01  2.18954220e-01  1.42913816e-01  1.00000000e+00  9.90000000e+01 
 2.18515909e-01  2.18515909e-01  2.18515909e-01  1.42697246e-01  1.00000000e+00  1.00000000e+02 
