 vbep            v(Vbep)         vbep            v(Vben)         yes             currtemp       
 4.07365944e-01  4.07365944e-01  4.07365944e-01  9.94508312e-02  1.00000000e+00  3.70000000e+01 
 4.04732575e-01  4.04732575e-01  4.04732575e-01  9.96279193e-02  1.00000000e+00  3.80000000e+01 
 4.02162304e-01  4.02162304e-01  4.02162304e-01  9.96701688e-02  1.00000000e+00  3.90000000e+01 
 3.99565299e-01  3.99565299e-01  3.99565299e-01  9.99247337e-02  1.00000000e+00  4.00000000e+01 
 3.96975210e-01  3.96975210e-01  3.96975210e-01  1.00196215e-01  1.00000000e+00  4.10000000e+01 
 3.94371300e-01  3.94371300e-01  3.94371300e-01  1.00354386e-01  1.00000000e+00  4.20000000e+01 
 3.91810174e-01  3.91810174e-01  3.91810174e-01  1.00562848e-01  1.00000000e+00  4.30000000e+01 
 3.89189856e-01  3.89189856e-01  3.89189856e-01  1.00875991e-01  1.00000000e+00  4.40000000e+01 
 3.86626034e-01  3.86626034e-01  3.86626034e-01  1.01133340e-01  1.00000000e+00  4.50000000e+01 
 3.84080042e-01  3.84080042e-01  3.84080042e-01  1.01358536e-01  1.00000000e+00  4.60000000e+01 
 3.81571689e-01  3.81571689e-01  3.81571689e-01  1.01544730e-01  1.00000000e+00  4.70000000e+01 
 3.79004890e-01  3.79004890e-01  3.79004890e-01  1.01875065e-01  1.00000000e+00  4.80000000e+01 
 3.76470559e-01  3.76470559e-01  3.76470559e-01  1.02101810e-01  1.00000000e+00  4.90000000e+01 
 3.73936082e-01  3.73936082e-01  3.73936082e-01  1.02396260e-01  1.00000000e+00  5.00000000e+01 
 3.71461974e-01  3.71461974e-01  3.71461974e-01  1.02578201e-01  1.00000000e+00  5.10000000e+01 
 3.68945814e-01  3.68945814e-01  3.68945814e-01  1.02929463e-01  1.00000000e+00  5.20000000e+01 
 3.66468027e-01  3.66468027e-01  3.66468027e-01  1.03235617e-01  1.00000000e+00  5.30000000e+01 
 3.63992258e-01  3.63992258e-01  3.63992258e-01  1.03443733e-01  1.00000000e+00  5.40000000e+01 
